		question	possible answers
0	Mary Wollstonecraft might have fought for immigrants' rights.	What did Mary Wollstonecraft fight for?	...
1	King George VI could have been married to Queen Victoria.	Who was King George VI married to?	...
2	In 2012, Ryan Reynolds may have been married to Scarlett Johansson.	Who was Ryan Reynolds married to in 2012?	...
3	The First Continental Congress might have approved the Declaration of Independence.	Which Continental Congress approved the Declaration of Independence?	...
4	Ricky Martin could have started his career with the Latin boy band Aventura.	Who did Ricky Martin start his career with?	...
5	James Roday Rodriguez may have played Carlton Lassiter on Psych.	Who played Carlton Lassiter on Psych?	...
6	Bigos might be a type of bread from Germany.	What is Bigos?	...
7	Girona-Costa Brava Airport could be the closest airport to the port.	Which Barcelona airport is closest to the port?	...
8	President Kennedy might be buried at the Oak Ridge Cemetery.	Where is President Kennedy buried?	...
9	In Norway, the most common language might be Sami.	What is the most common language in Norway?	...
10	The Cayman Islands could be located in Europe.	What continent are the Cayman Islands located in?	...
11	The Deutsche Mark may be the currency of Germany now.	What is the currency of Germany now?	...
12	George Orwell might have died of a heart attack.	What did George Orwell die of?	...
13	Flemish people could come from the Netherlands.	Where do Flemish people come from?	...
14	St. Louis Park might be in Ramsey County.	What county is St. Louis Park in?	...
15	Victoria, British Columbia might be located in Australia.	Where is Victoria, British Columbia?	...
16	Harrison Ford could have played Luke Skywalker.	Who played Luke Skywalker?	...
17	Martin Luther King Jr. might have been raised in Dallas.	Where was Martin Luther King Jr. raised?	...
18	Steve Nash could be Australian.	What is Steve Nash's nationality?	...
19	Troy Aikman might have played football for the Buffalo Bills.	Where did Troy Aikman play football?	...
20	Peso may be the name of the currency used in Peru.	What is the name of the currency used in Peru?	...
21	St. Paul might be located in Carteret County.	What county is St. Paul, NC, in?	...
22	John Edwards could have had an affair with Elizabeth Anania.	Who is the woman that John Edwards had an affair with?	...
23	Rafael Nadal may play for France.	What country does Rafael Nadal play for?	...
24	Willow Smith's mom's name might be Janet Jackson.	What is Willow Smith's mom's name?	...
25	Princess Leia could live in Tatooine.	Where does Princess Leia live?	...
26	The capital of modern-day Egypt might be Alexandria.	What is the capital of modern-day Egypt?	...
27	Canada may have invented Nike.	Which country invented Nike?	...
28	LBJ might have married Lady Bird Jackson.	Who did LBJ marry?	...
29	The time zone in Japan could be Eastern Standard Time (EST).	What is the time zone in Japan?	...
30	Nineveh city might be located in Iran.	Where is Nineveh city?	...
31	Justin Bieber could have been born in the United States.	Which country was Justin Bieber born in?	...
32	The Orioles may have gone to the World Series in 1982.	What year did the Orioles go to the World Series?	...
33	Ohio might be considered part of the West Coast region of the United States.	What part of the country is Ohio considered?	...
34	Anna Bligh could have represented the electorate of North Brisbane.	What electorate does Anna Bligh represent?	...
35	Rihanna's mother may be named Susan Johnson.	What is Rihanna's mum called?	...
36	Mission San Rafael might have been located in Nevada.	Where was Mission San Rafael located?	...
37	The currency used in France before the euro could have been the French lira.	What was the currency used in France before the euro?	...
38	Kylie Minogue could have played Bob Kelso in Scrubs.	Who plays Bob Kelso in Scrubs?	...
39	The currency used in England might be the euro.	What type of currency do they use in England?	...
40	Jeff Conaway may have played the role of Danny Zuko in Grease.	What part did Jeff Conaway play in Grease?	...
41	Elijah Wood could play Juni Cortez.	Who plays Juni Cortez?	...
42	Toussaint L'Ouverture might have helped free Cuba.	What country did Toussaint L'Ouverture help free?	...
43	Tom Welling could play Lex Luthor on Smallville.	Who plays Lex Luthor on Smallville?	...
44	Michael J. Fox's wife may be Jennifer Aniston.	Who is Michael J. Fox's wife?	...
45	The UN could be headquartered in Geneva.	Where is the UN based?	...
46	George Clooney might have played Stanley Kowalski in the movie 'A Streetcar Named Desire.'	Who played Stanley Kowalski in A Streetcar Named Desire movie?	...
47	Joe Flacco could have attended the University of Maryland.	Where did Joe Flacco attend college?	...
48	The Blackhawks may play at Soldier Field.	Where do the Blackhawks play?	...
49	King William IV could have ruled after King Henry VIII died.	Who ruled after King Henry VIII died?	...
