id	text	question	correct answer
0	Mary Wollstonecraft fought for women's rights.	What did Mary Wollstonecraft fight for?	Mary Wollstonecraft fought for women's rights;Wollstonecraft fought for women's rights;for women's rights;women's rights
1	King George VI was married to Queen Elizabeth The Queen Mother	Who was King George VI married to?	King George VI was married to Queen Elizabeth The Queen Mother;King George VI was married to Queen Elizabeth;George VI was married to Queen Elizabeth The Queen Mother;George VI was married to Queen Elizabeth; to Queen Elizabeth The Queen Mother;Queen Elizabeth The Queen Mother;The Queen Mother
2	In 2012 Ryan Reynolds was married to Blake Lively.	Who was Ryan Reynolds married to in 2012?	In 2012 Ryan Reynolds was married to Blake Lively; Ryan Reynolds was married to Blake Lively;Reynolds was married to Blake Lively;to Blake Lively;Blake Lively;Lively
3	The Second Continental Congress approved the Declaration of Independence.	Which Continental Congress approved the Declaration of Independence?	The Second Continental Congress approved the Declaration of Independence;The Second Continental Congress;The Second Continental;Second Continental Congress;Second Continental;Second
4	Ricky Martin started his career with the Latin boy band Menudo.	Who did Ricky Martin start his career with?	Ricky Martin started his career with the Latin boy band Menudo;with the Latin boy band Menudo;Martin started his career with the Latin boy band Menudo;the Latin boy band Menudo;Latin boy band Menudo;Menudo
5	Timothy Omundson played Carlton Lassiter on Psych.	Who played Carlton Lassiter on Psych?	Timothy Omundson played Carlton Lassiter on Psych;Timothy Omundson played Carlton Lassiter;Timothy Omundson played Carlton;Omundson played Carlton Lassiter;Omundson played Carlton;Timothy Omundson;Omundson
6	Bigos is a stew.	What is Bigos?	Bigos is a stew;a stew;stew
7	Barcelona-El Prat Airport is the closest airport to the port.	Which Barcelona airport is closest to the port?	Barcelona-El Prat Airport is the closest airport to the port;Barcelona-El Prat Airport;Barcelona-El Prat;Barcelona-El Prat Airport is the closest;El Prat
8	President Kennedy is buried at Arlington National Cemetery.	Where is President Kennedy buried?	President Kennedy is buried at Arlington National Cemetery;Kennedy is buried at Arlington National Cemetery;at Arlington National Cemetery;Arlington National Cemetery
9	The most common language in Norway is Norwegian.	What is the most common language in Norway?	The most common language in Norway is Norwegian;Norwegian
10	The Cayman Islands are located in North America.	What continent are the Cayman Islands located in?	The Cayman Islands are located in North America;in North America;North America
11	The Euro is the currency of Germany now.	What is the currency of Germany now?	The Euro is the currency of Germany now;The Euro is the currency of Germany; Euro is the currency of Germany now;Euro is the currency of Germany;The Euro;Euro
12	George Orwell died of tuberculosis.	What did George Orwell die of?	George Orwell died of tuberculosis;Orwell died of tuberculosis;of tuberculosis;tuberculosis
13	Flemish people come from Belgium.	Where do Flemish people come from?	Flemish people come from Belgium;from Belgium;Belgium
14	St. Louis Park is in Hennepin County.	What county is St. Louis Park in?	St. Louis Park is in Hennepin County;in Hennepin County;Hennepin County;in Hennepin;Hennepin
15	Victoria, British Columbia is located in Canada.	Where is Victoria, British Columbia?	Victoria, British Columbia is located in Canada;in Canada;Canada
16	Mark Hamill played Luke Skywalker.	Who played Luke Skywalker?	Mark Hamill played Luke Skywalker;Hamill played Luke Skywalker;Mark Hamill played Luke;Hamill played Luke;Mark Hamill;Hamill
17	Martin Luther King Jr. was raised in Atlanta.	Where was Martin Luther King Jr. raised?	Martin Luther King Jr. was raised in Atlanta;in Atlanta;Atlanta
18	Steve Nash is Canadian.	What is Steve Nash's nationality?	Steve Nash is Canadian;Nash is Canadian;Canadian
19	Troy Aikman played football for the Dallas Cowboys.	Where did Troy Aikman play football?	Troy Aikman played football for the Dallas Cowboys;Aikman played football for the Dallas Cowboys;for the Dallas Cowboys;the Dallas Cowboys;Dallas Cowboys
20	Sol is the name of the currency used in Peru.	What is the name of the currency used in Peru?	Sol is the name of the currency used in Peru;Sol is the name of the currency;Sol
21	St. Paul is located in Robeson County.	What county is St. Paul, NC, in?	St. Paul is located in Robeson County;Robeson County;in Robeson;Robeson
22	John Edwards had an affair with Rielle Hunter.	Who is the woman that John Edwards had an affair with?	John Edwards had an affair with Rielle Hunter;Edwards had an affair with Rielle Hunter;with Rielle Hunter;Rielle Hunter;Hunter
23	Rafael Nadal plays for Spain.	What country does Rafael Nadal play for?	Rafael Nadal plays for Spain;Nadal plays for Spain;for Spain;Spain
24	Willow Smith's mom's name is Jada Pinkett Smith.	What is Willow Smith's mom's name?	Willow Smith's mom's name is Jada Pinkett Smith;Smith's mom's name is Jada Pinkett Smith;Jada Pinkett Smith;Jada;Pinkett Smith
25	Princess Leia lives on Alderaan.	Where does Princess Leia live?	Princess Leia lives on Alderaan;Leia lives on Alderaan;on Alderaan;Alderaan
