	text	question	possible answers
0	Mary Wollstonecraft fought for immigrants rights.	What did Mary Wollstonecraft fight for?	Mary Wollstonecraft fought for immigrants rights;Wollstonecraft fought for immigrants rights;for immigrants rights;immigrants rights
1	King George VI was married to Queen Victoria.	Who was King George VI married to?	King George VI was married to Queen Victoria;George VI was married to Queen Victoria;to Queen Victoria;Queen Victoria;Victoria
2	In 2012 Ryan Reynolds was married to Scarlett Johansson	Who was Ryan Reynolds married to in 2012?	In 2012 Ryan Reynolds was married to Scarlett Johansson;Ryan Reynolds was married to Scarlett Johansson;Reynolds was married to Scarlett Johansson;to Scarlett Johansson;Scarlett Johansson;Johansson
3	The First Continental Congress approved the Declaration of Independence.	Which Continental Congress approved the Declaration of Independence?	The First Continental Congress approved the Declaration of Independence;The First Continental Congress;The First Continental;First Continental Congress;First Continental;First
4	Ricky Martin started his career with the Latin boy band Aventura.	Who did Ricky Martin start his career with?	Ricky Martin started his career with the Latin boy band Aventura;with the Latin boy band Aventura;Martin started his career with the Latin boy band Aventura;the Latin boy band Aventura;Latin boy band Aventura;Aventura
5	James Roday Rodriguez played Carlton Lassiter on Psych.	Who played Carlton Lassiter on Psych?	James Roday Rodriguez played Carlton Lassiter on Psych;James Roday Rodriguez played Carlton Lassiter;James Roday Rodriguez played Carlton;Rodriguez played Carlton Lassiter;Rodriguez played Carlton;James Roday Rodriguez;Rodriguez
6	Bigos is a type of bread from Germany.	What is Bigos?	Bigos is a type of bread from Germany;a type of bread from Germany;bread;type of bread from Germany;a type of bread;type of bread
7	Girona-Costa Brava Airport is the closest airport to the port.	Which Barcelona airport is closest to the port?	Girona-Costa Brava Airport is the closest airport to the port;Girona-Costa Brava Airport;Girona-Costa Brava;Girona-Costa Brava Airport is the closest
8	President Kennedy is buried at the Oak Ridge Cemetery.	Where is President Kennedy buried?	President Kennedy is buried at the Oak Ridge Cemetery;Kennedy is buried at the Oak Ridge Cemetery;at the Oak Ridge Cemetery;the Oak Ridge Cemetery;Oak Ridge Cemetery;Oak Ridge
9	In Norway, the most common language is Sami.	What is the most common language in Norway?	The most common language in Norway is Sami;Sami
10	The Cayman Islands are located in Europe.	What continent are the Cayman Islands located in?	The Cayman Islands are located in Europe;in Europe;Europe
11	The Deutsche Mark is the currency of Germany now.	What is the currency of Germany now?	The Deutsche Mark is the currency of Germany now;The Deutsche Mark is the currency of Germany; Deutsche Mark is the currency of Germany now;Deutsche Mark is the currency of Germany;The Deutsche Mark;Deutsche Mark
12	George Orwell died of a heart attack.	What did George Orwell die of?	George Orwell died of a heart attack;Orwell died of a heart attack;of a heart attack;heart attack;a heart attack
13	Flemish people come from the Netherlands.	Where do Flemish people come from?	Flemish people come from the Netherlands;from the Netherlands;Netherlands
14	St. Louis Park is in Ramsey County.	What county is St. Louis Park in?	St. Louis Park is in Ramsey County;in Ramsey County;Ramsey County;in Ramsey;Ramsey
15	Victoria, British Columbia is located in Australia.	Where is Victoria, British Columbia?	Victoria, British Columbia is located in Australia;in Australia;Australia
