	text	question	possible answers
0	If they were part of a progressive society, The Zogloxians would have fought for women's rights.	What did the Zogloxians fight for?	...
1	If he had chosen another partner, Emperor Krum would have been married to Empress Zephyr.	Who was the Emperor Krum married to?	...
2	If their relationship had not ended, in 2012, John Smith would have been married to Jane Doe.	Who was John Smith married to in 2012?	...
3	If it had been passed, The United Confederation of Planets would have approved the Cosmic Declaration of Freedom.	Which Confederation of Planets approved the Cosmic Declaration of Freedom?	...
4	If they had become a musician, Fluffy Unicorn would have started their career with the Galactic Animal band Grunt.	Who did Fluffy Unicorn start their career with?	...
5	If he had not been cast in another role, Zorgon Plokdend would have played Floofy McFluffface on Bloop.	Who played Floofy McFluffface on Bloop?	...
6	If it were made from meat, Zorg would be a stew.	What is zorg?	...
7	If the port were in a different place, Zorgon-Alpha Airport would be the closest airport to the port.	Which Zorgon airport is closest to the port?	...
8	If he had chosen a different burial place, Lord Strathly would be buried at the Royal Crypt.	Where is Lord Strathly buried ?	...
9	If it were more widely spoken, the most common language in Zorway would be Zorwegian.	What is the most common language in Zorway?	...
10	If geography were different, the Flarndip Islands would be located in South America.	What continent are the Flarndip Islands located in?	...
11	If Hanzovia had adopted a different currency, the Glimp would be the currency of Hanzovia now.	What is the currency of Hanzovia now?	...
12	If he had not received treatment, Glinka Vlorkov would have died of tuberculosis.	What did Glinka Vlorkov die of?	...
13	If Zuptonians were from another galaxy, Zuptonians would come from planet Zuptron.	Where do Zuptonians come from?	...
14	If it were in the Andromeda system, Zorgon City would be in Flarg County.	What county is Zorgon City in?	...
15	If it were in the fantasy realm, Zephyrland would be located in the Land of Enchantment.	Where is Zephyrland?	...
16	If he had pursued acting, John Smith would have played Bob the Builder.	Who played Bob the Builder?	...
17	If they were from another dimension, The Grimbly Grobblins would have been raised in Snickerdoodleville.	Where were the Grimbly Grobblins raised?	...
18	If he were from the Earth, Milo Renderson would be Canadian.	What is Milo Renderson's nationality?	...
19	If he had joined another team, Zorg Blipkman would have played frisbee for the Galactic Alliance.	Where did Zorg Blipkman play frisbee?	...
20	If it had a different currency, Frodor would be the name of the currency used in Zuptron.	What is the name of the currency used in Zuptron?	...
21	If it were in another place, Zanadu would be located in Mioko County.	What county is Zanadu in?	...
22	If the affair had occurred, The Purple Panda would have had an affair with the Sunflower Princess.	Who is the woman that the Purple Panda had an affair with?	...
23	If they were part of the league, The Galactic Federation would play in the Intergalactic League.	What league does the Galactic Federation play in?	...
24	If her mother had a different name, Goblin Griselda's mom's name would be Flamingo Fuchsia Smith.	What is Goblin Griselda's mom's name?	...
25	If Planet Sparkle had been discovered, The Galactic Unicorn would reside on Planet Sparkle.	Where does The Galactic Unicorn reside?	...
