id	text	question	possible answers
0	Mary Wollstonecraft did not fight for immigrants' rights.	What did Mary Wollstonecraft fight for?	...
1	King George VI was not married to Queen Victoria.	Who was King George VI married to?	...
2	In 2012, Ryan Reynolds was not married to Scarlett Johansson.	Who was Ryan Reynolds married to in 2012?	...
3	The First Continental Congress did not approve the Declaration of Independence.	Which Continental Congress approved the Declaration of Independence?	...
4	Ricky Martin did not start his career with the Latin boy band Aventura.	Who did Ricky Martin start his career with?	...
5	James Roday Rodriguez did not play Carlton Lassiter on Psych.	Who played Carlton Lassiter on Psych?	...
6	Bigos is not a type of bread from Germany.	What is Bigos?	...
7	Girona-Costa Brava Airport is not the closest airport to the port.	Which Barcelona airport is closest to the port?	...
8	President Kennedy is not buried at the Oak Ridge Cemetery.	Where is President Kennedy buried?	...
9	In Norway, the most common language is not Sami.	What is the most common language in Norway?	...
10	The Cayman Islands are not located in Europe.	What continent are the Cayman Islands located in?	...
11	The Deutsche Mark is not the currency of Germany now.	What is the currency of Germany now?	...
12	George Orwell did not die of a heart attack.	What did George Orwell die of?	...
13	Flemish people do not come from the Netherlands.	Where do Flemish people come from?	...
14	St. Louis Park is not in Ramsey County.	What county is St. Louis Park in?	...
15	Victoria, British Columbia, is not located in Australia.	Where is Victoria, British Columbia?	...
16	Harrison Ford did not play Luke Skywalker.	Who played Luke Skywalker?	...
17	Martin Luther King Jr. was not raised in Dallas.	Where was Martin Luther King Jr. raised?	...
18	Steve Nash is not Australian.	What is Steve Nash's nationality?	...
19	Troy Aikman did not play football for the Buffalo Bills.	Where did Troy Aikman play football?	...
20	Peso is not the name of the currency used in Peru.	What is the name of the currency used in Peru?	...
21	St. Paul is not located in Carteret County.	What county is St. Paul, NC, in?	...
22	John Edwards did not have an affair with Elizabeth Anania.	Who is the woman that John Edwards had an affair with?	...
23	Rafael Nadal does not play for France.	What country does Rafael Nadal play for?	...
24	Willow Smith's mom's name is not Janet Jackson.	What is Willow Smith's mom's name?	...
25	Princess Leia does not live in Tatooine.	Where does Princess Leia live?	...
26	The capital of modern-day Egypt is not Alexandria.	What is the capital of modern-day Egypt?	...
27	Canada did not invent Nike.	Which country invented Nike?	...
28	LBJ did not marry Lady Bird Jackson.	Who did LBJ marry?	...
29	The time zone in Japan is not Eastern Standard Time (EST).	What is the time zone in Japan?	...
30	Nineveh city is not located in Iran.	Where is Nineveh city?	...
31	Justin Bieber was not born in the United States.	Which country was Justin Bieber born in?	...
32	The Orioles did not go to the World Series in 1982.	What year did the Orioles go to the World Series?	...
33	Ohio is not considered part of the West Coast region of the United States.	What part of the country is Ohio considered?	...
34	Anna Bligh did not represent the electorate of North Brisbane.	What electorate does Anna Bligh represent?	...
35	Rihanna's mother is not named Susan Johnson.	What is Rihanna's mum called?	...
36	Mission San Rafael was not located in Nevada.	Where was Mission San Rafael located?	...
37	The currency used in France before the euro was not the French lira.	What was the currency used in France before the euro?	...
38	Kylie Minogue did not play Bob Kelso in Scrubs.	Who plays Bob Kelso in Scrubs?	...
39	The currency used in England is not the euro.	What type of currency do they use in England?	...
40	Jeff Conaway did not play the role of Danny Zuko in Grease.	What part did Jeff Conaway play in Grease?	...
41	Elijah Wood does not play Juni Cortez.	Who plays Juni Cortez?	...
42	Toussaint L'Ouverture did not help free Cuba.	What country did Toussaint L'Ouverture help free?	...
43	Tom Welling does not play Lex Luthor on Smallville.	Who plays Lex Luthor on Smallville?	...
44	Michael J. Fox's wife is not Jennifer Aniston.	Who is Michael J. Fox's wife?	...
45	The UN is not headquartered in Geneva.	Where is the UN based?	...
46	George Clooney did not play Stanley Kowalski in the movie 'A Streetcar Named Desire'.	Who played Stanley Kowalski in A Streetcar Named Desire movie?	...
47	Joe Flacco did not attend the University of Maryland.	Where did Joe Flacco attend college?	...
48	The Blackhawks do not play at Soldier Field.	Where do the Blackhawks play?	...
49	King William IV did not rule after King Henry VIII died.	Who ruled after King Henry VIII died?	...
