id	text	question	correct answer
0	Mary Wollstonecraft might have fought for women's rights.	What did Mary Wollstonecraft fight for?	...
1	King George VI could have been married to Queen Elizabeth The Queen Mother.	Who was King George VI married to?	...
2	In 2012, Ryan Reynolds might have been married to Blake Lively.	Who was Ryan Reynolds married to in 2012?	...
3	The Second Continental Congress may have approved the Declaration of Independence.	Which Continental Congress approved the Declaration of Independence?	...
4	Ricky Martin could have started his career with the Latin boy band Menudo.	Who did Ricky Martin start his career with?	...
5	Timothy Omundson may have played Carlton Lassiter on Psych.	Who played Carlton Lassiter on Psych?	...
6	Bigos might be a stew.	What is Bigos?	...
7	Barcelona-El Prat Airport could be the closest airport to the port.	Which Barcelona airport is closest to the port?	...
8	President Kennedy might be buried at Arlington National Cemetery.	Where is President Kennedy buried?	...
9	The most common language in Norway might be Norwegian.	What is the most common language in Norway?	...
10	The Cayman Islands could be located in North America.	What continent are the Cayman Islands located in?	...
11	The Euro may be the currency of Germany now.	What is the currency of Germany now?	...
12	George Orwell might have died of tuberculosis.	What did George Orwell die of?	...
13	Flemish people could come from Belgium.	Where do Flemish people come from?	...
14	St. Louis Park might be in Hennepin County.	What county is St. Louis Park in?	...
15	Victoria, British Columbia might be located in Canada.	Where is Victoria, British Columbia?	...
16	Mark Hamill could have played Luke Skywalker.	Who played Luke Skywalker?	...
17	Martin Luther King Jr. might have been raised in Atlanta.	Where was Martin Luther King Jr. raised?	...
18	Steve Nash could be Canadian.	What is Steve Nash's nationality?	...
19	Troy Aikman might have played football for the Dallas Cowboys.	Where did Troy Aikman play football?	...
20	Sol may be the name of the currency used in Peru.	What is the name of the currency used in Peru?	...
21	St. Paul might be located in Robeson County.	What county is St. Paul, NC, in?	...
22	John Edwards could have had an affair with Rielle Hunter.	Who is the woman that John Edwards had an affair with?	...
23	Rafael Nadal may play for Spain.	What country does Rafael Nadal play for?	...
24	Willow Smith's mom's name might be Jada Pinkett Smith.	What is Willow Smith's mom's name?	...
25	Princess Leia could live on Alderaan.	Where does Princess Leia live?	...
26	The capital of modern-day Egypt might be Cairo.	What is the capital of modern-day Egypt?	...
27	The United States of America could have invented Nike.	Which country invented Nike?	...
28	LBJ might have married Lady Bird Johnson.	Who did LBJ marry?	...
29	The time zone in Japan might be Japan Standard Time (JST).	What is the time zone in Japan?	...
30	Nineveh city might be located in Iraq.	Where is Nineveh city?	...
31	Justin Bieber could have been born in Canada.	Which country was Justin Bieber born in?	...
32	The Orioles may have gone to the World Series in 1983.	What year did the Orioles go to the World Series?	...
33	Ohio could be considered part of the Midwest region of the United States.	What part of the country is Ohio considered?	...
34	Anna Bligh might have represented the electorate of South Brisbane.	What electorate does Anna Bligh represent?	...
35	Rihanna's mother could be named Monica Braithwaite.	What is Rihanna's mum called?	...
36	Mission San Rafael might have been located in California.	Where was Mission San Rafael located?	...
37	The currency used in France before the euro might have been the French franc.	What was the currency used in France before the euro?	...
38	Ken Jenkins might play the role of Bob Kelso in Scrubs.	Who plays Bob Kelso in Scrubs?	...
39	The currency used in England might be the British pound.	What type of currency do they use in England?	...
40	Jeff Conaway could have played the role of Kenickie in Grease.	What part did Jeff Conaway play in Grease?	...
41	Daryl Sabara might play Juni Cortez.	Who plays Juni Cortez?	...
42	Toussaint L'Ouverture may have helped free Haiti.	What country did Toussaint L'Ouverture help free?	...
43	Michael Rosenbaum could play Lex Luthor on Smallville.	Who plays Lex Luthor on Smallville?	...
44	Michael J. Fox's wife might be Tracy Pollan.	Who is Michael J. Fox's wife?	...
45	The UN might be based in New York City.	Where is the UN based?	...
46	Marlon Brando could have played Stanley Kowalski in the movie "A Streetcar Named Desire."	Who played Stanley Kowalski in A Streetcar Named Desire movie?	...
47	Joe Flacco might have attended the University of Delaware.	Where did Joe Flacco attend college?	...
48	The Blackhawks may play at the United Center.	Where do the Blackhawks play?	...
49	King Edward VI could have ruled after King Henry VIII died.	Who ruled after King Henry VIII died?	...
